Te Actual E0,Te Predicted E0
-1.08613209,-1.0673889923741626
-0.95692541,-0.6097242553405522
0.30436329,-0.22180792200015276
-1.05904721,-1.0388903634011513
-0.04,-0.14715422841254622
-0.35,-0.33558892423934594
-1.02746434,-0.5968113629196523
-0.836,-0.720572630172228
-0.76291948,-0.8041953811011808
-1.07266794,-0.7255135243403856
-0.63449428,-0.38116185457511165
-0.559,-0.6444839977184529
-0.667,-0.7231815673549136
-1.006,-0.774313186904692
-0.637,-0.7955761146786244
-0.163,-0.24511988811718766
-0.52,-0.4083531988781033
-0.70610557,-1.0605179393169237
-1.0403769,-1.2864329147487297
-0.547,-0.5078210873625721
-0.96903447,-0.7126006318876534
-0.46217204,-0.9383803982618701
-0.35148528,-0.38357218174223817
-0.543,-0.43523075572102243
-0.13463746,-0.23745939065156563
-0.69422387,-0.8427424050523769
-1.57199624,-0.8859097429040048
-0.843,-0.5660334676504135
-0.38849717,-0.7488388854799268
-1.10193347,-1.2314368617116997
-0.92404966,-1.0102980230922185
-1.01087654,-0.8211515175512432
-0.52635541,-0.8038349385296897
-0.94939097,-0.8082386250953277
-0.691,-0.6777792243829026
-0.292,-0.5556151976670662
-0.42799025,0.013638570710099884
-0.43437729,-0.7189760333039885
-1.05263341,-1.0843451288264987
-0.424,-0.49520291019780416
-1.1107946,-1.1630269855945699
-0.50947717,-0.8713347453449387
-0.37604277,-0.49894975987444923
-0.55721703,-0.6844722533751337
-0.77285153,-0.9825152023122428
-1.07163665,-0.9682432504177996
