Te Actual E0,Te Predicted E0
-0.274,-0.532706101019768
-0.95692541,-0.5692350201199796
-0.553,-0.615191307180006
-0.47722466,-0.24400264636760804
0.48395404,-0.21935362806591874
-0.43,-0.7304572467022435
-0.04,-0.20099290392949332
0.44061743,-0.3281604114629929
-0.85314334,-0.3926902708865777
-0.518,-0.8109602633883498
-1.16814704,-1.0326102314224144
0.22865765,-0.332839685710719
-0.93114353,-0.7940370319468083
-0.64171637,-0.8779707927039737
-1.032,-0.7487451870448465
-0.89496127,-1.067034757951987
-0.37604277,-0.5167554131750459
-0.506,-0.6847738372989044
-0.377,-0.0790569836414945
-0.8612572,-1.0595686898021852
-0.562,-0.39022824659320976
-0.54790107,-0.2685508399575631
-0.67906937,-0.7130363600872475
-0.56,-0.5900438865960644
-0.94305278,-0.7455757805148637
-0.63449428,-0.31359822012875294
-0.73248494,-0.9658915611554797
