Tr Actual E0,Tr Predicted E0
-0.94328199,-0.6903923849836131
-0.86200774,-0.7072899152301816
-0.03993522,-0.1361848062348864
-0.385,-0.5720025366053451
-0.163,-0.251181446472121
-0.383,-0.4889711721487784
-0.292,-0.5063633687337702
-0.749,-0.7174626926251964
-1.0971139,-1.0870847735091
-0.42317356,-0.3184193140644435
-0.54162563,-0.49428291511778866
-1.12531649,-1.1101897978435327
-1.0403769,-1.2469269657418705
-0.81151515,-0.9864679262725886
-1.026,-0.5806637095244391
-0.66467793,-0.6297697940476835
-0.98491731,-0.5426691070638682
-0.077,-0.169521430416729
-0.73186329,-0.5892984410085448
-0.81424767,-0.7653161672541837
-0.6900878,-0.4867176868193913
-0.52635541,-0.5958354415966024
-0.15171683,-0.28903075991096966
-1.01087654,-0.770009396358926
-0.4781702,-0.6985907148540446
-0.42799025,-0.11135526628299336
-1.70572679,-1.213080709338364
-0.691,-0.6861940998078762
-1.02573532,-1.1726021300579625
-0.47175002,-0.22170200329306833
-0.3789491,-0.8743908797843952
-0.43518893,-0.5226880227526532
-1.57199624,-1.0457924031402317
-0.86653899,-0.7696337818335779
-0.51163341,-0.653654455585332
-0.79596622,-0.9417384694169043
-0.97658383,-0.987532304983019
-0.229108,-0.4865998981968792
-0.38849717,-0.5352805348147982
-0.719,-0.35141052293873914
-1.2798031,-0.9947631008721394
-0.836,-0.6753638587518886
-0.547,-0.5200774170455269
-0.59782552,-0.8090735701483632
-0.537,-0.5849869803252004
-0.16453762,-0.13086744169126366
-0.194,-0.2909715826401699
-0.55721703,-0.6158147059551317
-0.2407627,-0.5985297244813762
-0.5935564,-0.8134537332968886
-0.843,-0.6722606419943536
-0.086,-0.41024534660270273
-0.559,-0.7037187154113136
-0.503,-0.6246204681840938
0.2249784,-0.17972653434115063
-0.371,-0.6299684744160756
-0.651,-0.7383087617365274
-0.108,-0.1856133428986809
-0.35148528,-0.30488150818849824
-0.50047595,-0.7300926575348596
-1.054,-0.7425268648598586
-0.81,-0.735227612004071
-0.91883635,-0.8164861261694809
-0.35,-0.27815433533411194
-0.96498014,-0.8935227307651535
-1.12678703,-1.0261739136060044
-1.05263341,-1.0626447599281699
-0.0479683,-0.23974372890176593
-0.677,-0.4446399015953406
-0.138,-0.14359766988351394
-0.556,-0.5646022579818697
-0.171,-0.3216004205569583
-0.8781954,-0.8511508670448272
-0.59039549,-0.5593239207653408
-0.134,-0.11619781531355372
-1.06864214,-0.657432983467499
-0.667,-0.7247334952162509
-0.60900685,-1.0866487414248827
-0.70610557,-1.0773018179309983
-1.07266794,-0.7477849650723479
-0.96903447,-0.7028453101005085
