Te Actual E0,Te Predicted E0
-0.274,-0.5180545908901614
-0.95692541,-0.5710288254290015
-0.553,-0.6185984955198266
-0.47722466,-0.2612818891336194
0.48395404,-0.21440383715331549
-0.43,-0.6363915815560451
-0.04,-0.2794500629613374
0.44061743,-0.47248175954093796
-0.85314334,-0.5248326158791202
-0.518,-0.7210047357607122
-1.16814704,-1.0499680689287174
0.22865765,-0.48875538759609055
-0.93114353,-0.7892432087905069
-0.64171637,-0.8461745071374382
-1.032,-0.7406364576425413
-0.89496127,-1.122326022643051
-0.37604277,-0.49725309719340594
-0.506,-0.6538579972524048
-0.377,-0.06972388645392977
-0.8612572,-1.085831055302865
-0.562,-0.4004063037745154
-0.54790107,-0.2151107989349628
-0.67906937,-0.7255079933139751
-0.56,-0.6689659626980776
-0.94305278,-0.7945862374353421
-0.63449428,-0.24804918383348185
-0.73248494,-0.9705220831856347
