Te Actual E0,Te Predicted E0
-1.08613209,-0.9748348645000007
-0.95692541,-0.7927809220000003
0.30436329,-0.11926806040000011
-1.05904721,-0.7370423806
-0.04,-0.16983098020000015
-0.35,-0.6095857743000002
-1.02746434,-0.8638496795
-0.836,-0.7423367011
-0.76291948,-0.7156567485000003
-1.07266794,-0.9038108023000005
-0.63449428,-0.34735883590000005
-0.559,-0.5868156356
-0.667,-0.6686605470000011
-1.006,-0.8368762589000004
-0.637,-0.8269859919999999
-0.163,-0.5439146850000002
-0.52,-0.5900136639999997
-0.70610557,-1.0102488257000006
-1.0403769,-1.2843748612999997
-0.547,-0.6389597577000002
-0.96903447,-0.8385179184000005
-0.46217204,-0.7926387458000002
-0.35148528,-0.23812194930000005
-0.543,-0.17725333160000012
-0.13463746,-0.5256732151000002
-0.69422387,-0.8292518907000002
-1.57199624,-1.3304853084999988
-0.843,-0.7087655827
-0.38849717,-0.7829512487
-1.10193347,-1.1684305444999992
-0.92404966,-1.0681474038
-1.01087654,-0.8422695849000001
-0.52635541,-0.9274254128
-0.94939097,-0.7977134701000003
-0.691,-0.6379492384999996
-0.292,-0.5332491646000004
-0.42799025,-0.1713511471000001
-0.43437729,-0.5482322046000008
-1.05263341,-1.0622109624000005
-0.424,-0.5529918700999997
-1.1107946,-1.0563249474000005
-0.50947717,-0.5102561338
-0.37604277,-0.5591774503999998
-0.55721703,-0.663270889
-0.77285153,-0.8962844626999998
-1.07163665,-1.055249186800001
