Te Actual E0,Te Predicted E0
-1.08613209,-0.9482250039873179
-0.95692541,-0.6849288371595321
0.30436329,-0.12658067978918552
-1.05904721,-0.9593602574896067
-0.04,-0.18735507884412073
-0.35,-0.36384439197718166
-1.02746434,-0.7057170495972969
-0.836,-0.5852949855616316
-0.76291948,-0.7128158271952998
-1.07266794,-0.7549451502418378
-0.63449428,-0.42369864584179595
-0.559,-0.703869913588278
-0.667,-0.7157863357570022
-1.006,-0.7969675044878386
-0.637,-0.9231220143847167
-0.163,-0.3278675674810074
-0.52,-0.5167882076348178
-0.70610557,-1.0643542230245657
-1.0403769,-1.3312893961556256
-0.547,-0.624142772925552
-0.96903447,-0.7757333626213949
-0.46217204,-0.7952573971997481
-0.35148528,-0.3776308939559385
-0.543,-0.32721367676276714
-0.13463746,-0.1205094571923837
-0.69422387,-0.7185112269362435
-1.57199624,-0.9433693526370917
-0.843,-0.551099802920362
-0.38849717,-0.7838487827102654
-1.10193347,-1.1737694071489386
-0.92404966,-0.8771742332028225
-1.01087654,-0.8316913203889271
-0.52635541,-0.9413687714841217
-0.94939097,-0.8524795328848995
-0.691,-0.7281535510555841
-0.292,-0.3743954429519363
-0.42799025,-0.05150203581433743
-0.43437729,-0.6407459491747431
-1.05263341,-1.0671004971954972
-0.424,-0.5878919264941942
-1.1107946,-1.0249711740761995
-0.50947717,-0.8006972510484047
-0.37604277,-0.6301948982873
-0.55721703,-0.7747142552398145
-0.77285153,-1.008675524732098
-1.07163665,-0.9383602306770626
